text,label
"Subject: Suspicious transaction detected

Dear user,

Security alert: an unknown device accessed your account. Verify your identity immediately using this link http://login-check.example.org

Your account will be locked within 24 hours.
Click the link and update your personal information.

Security Team
Office365",1
"Subject: Weekly report submission

Hello Anna,

Hello, we are planning a team lunch next week. Please confirm your availability by replying to this email.

No password or payment information is requested in this email.
HR Department",0
"Subject: Password policy awareness training

Hello Minh,

The client sent useful feedback on the prototype. We will discuss required changes in the next sprint planning session.

This message is for internal communication only.
Project Team",0
"Subject: Project status update

Hello Sarah,

HR would like to remind all staff to update emergency contact information through the internal HR portal.

No password or payment information is requested in this email.
Research Group",0
"Subject: HR announcement

Hello Linh,

Dear customer, this is your monthly invoice from our approved vendor account. No action is required if the amount is correct.

Thank you,
IT Support",0
"Subject: Client feedback summary

Hello Alex,

The training session will start at 9 AM in room B203. Please bring your laptop and student card.

Thank you,
Academic Office",0
"Subject: Code review summary

Hello Linh,

Hi everyone, the project dashboard has been updated. Please review the latest progress before Friday.

The official document is available in the shared drive.
Project Team",0
"Subject: Password policy awareness training

Hello Alex,

HR would like to remind all staff to update emergency contact information through the internal HR portal.

Please reply if you have questions.
Finance Team",0
"Subject: Weekly report submission

Hello Sarah,

This is a reminder about the company's password policy. Do not share passwords and change them according to the official schedule.

The official document is available in the shared drive.
Project Team",0
"Subject: Invoice overdue action required

Dear user,

Payroll update required. Enter your employee credentials to receive salary on time: http://payroll-update.example.com

You must act immediately.
Confirm your card number and security code.

Security Team
PayFast",1
"Subject: Budget review notes

Hello Mai,

This is a reminder about the company's password policy. Do not share passwords and change them according to the official schedule.

No password or payment information is requested in this email.
Project Team",0
"Subject: System maintenance notice

Hello Dung,

Dear customer, this is your monthly invoice from our approved vendor account. No action is required if the amount is correct.

No password or payment information is requested in this email.
HR Department",0
"Subject: Important tax refund notification

Dear user,

Your cloud account will be locked due to suspicious activity. Verify your account now at http://cloud-security.example.com

Your account will be locked within 24 hours.
Download the attached document and enable macros.

Security Team
BankSecure",1
